Idade,Renda Anual (em $),Gênero,Tempo no Site (min),Anúncio Clicado,Compra (0 ou 1)
29,30000,Feminino,5.7417055766185,Não,0
58,50000,Feminino,21.8855051886772,Sim,0
50,70000,Feminino,6.12133920058922,Não,1
21,100000,Feminino,16.2649254745783,Não,0
59,50000,Feminino,28.2356673618279,Sim,1
24,70000,Feminino,9.13009848344625,Sim,1
39,100000,Feminino,14.7468088235386,Sim,1
50,100000,Masculino,23.246507721212,Não,0
34,30000,Masculino,27.0564639023712,Sim,1
41,70000,Masculino,21.7735751185627,Sim,0
51,50000,Masculino,11.4543313547792,Sim,0
45,100000,Masculino,21.8651963229054,Sim,0
58,50000,Masculino,12.4181910276023,Sim,1
56,30000,Feminino,22.9607307454684,Sim,0
39,70000,Masculino,28.850828189626,Não,1
34,50000,Feminino,23.0348362776572,Sim,0
51,100000,Masculino,26.5720125728103,Sim,1
23,100000,Masculino,5.05259607939709,Sim,1
23,70000,Feminino,22.9393031182899,Sim,0
51,30000,Feminino,25.7396889216313,Não,1
18,70000,Masculino,6.01396843861704,Não,0
27,30000,Feminino,26.7899431822058,Sim,0
38,30000,Feminino,11.4173557077511,Não,0
22,100000,Masculino,21.6323025494514,Sim,0
19,30000,Masculino,25.0088719755852,Sim,0
39,50000,Feminino,21.5666128264839,Não,0
19,100000,Feminino,7.30711980183143,Não,0
27,50000,Feminino,19.9080379715092,Não,1
51,30000,Feminino,18.7395914180536,Sim,1
33,100000,Masculino,27.5080317018568,Não,1
56,30000,Masculino,15.1059932411052,Sim,1
39,70000,Masculino,13.0270274271763,Sim,1
29,100000,Feminino,23.7462691109117,Não,0
41,100000,Feminino,15.3168831520849,Sim,0
57,70000,Feminino,21.1524043751266,Não,1
55,50000,Masculino,21.1612522531152,Não,0
27,30000,Masculino,27.2009766090029,Sim,0
52,100000,Masculino,19.9673100579774,Não,0
49,100000,Feminino,17.5538402490497,Não,0
24,50000,Feminino,8.47178315991292,Sim,0
38,30000,Masculino,7.89344016696763,Não,0
37,30000,Feminino,8.85803913207699,Não,0
43,30000,Masculino,9.29621203317736,Sim,0
21,70000,Feminino,20.9469273165909,Não,0
39,50000,Masculino,23.5245312568645,Não,0
32,100000,Feminino,18.2497880731605,Sim,1
57,70000,Masculino,25.7254433136373,Não,0
38,30000,Feminino,29.7815806683408,Sim,0
32,70000,Masculino,25.5003157279839,Não,1
39,50000,Masculino,22.372059341899,Não,0
45,50000,Masculino,18.3123174859287,Sim,0
31,70000,Masculino,16.2213267918677,Sim,0
44,100000,Masculino,7.10980951361356,Não,1
58,100000,Feminino,14.9842187098673,Sim,0
